Product Code,Manufacturer,On Hand
879-72763-002,CARLING TECH,48
EA3-X0-13-145-31E-DC,CARLING TECH,48
VDD1AC0B-00000-000,CARLING TECH,48
V2D1A60B-00000-000,CARLING TECH,52
AB3-X0-00-159-3B1-C,CARLING TECH,53
L24D1CNN1-00000-000,CARLING TECH,53
P26A-1D-RND-MTL,CARLING TECH,53
PBD-BB-24-630-4BA-EG,CARLING TECH,62
EA3-X0-13-149-31E-DC,CARLING TECH,72
V7D2K66B-00000-000,CARLING TECH,73
CA3-X0-13-152-1D1-C,CARLING TECH,81
VV69800-000,CARLING TECH,81
VV69Z00-000,CARLING TECH,81
VV6KK00-000,CARLING TECH,82
CMB-103-27GNN-W-A,CARLING TECH,100
SILICONE SEAL,CARLING TECH,100
VDD1766B-00000-000,CARLING TECH,101
VVPZEXX-1XX-XMPW1,CARLING TECH,105
RA901-VB-B-2-V,CARLING TECH,123
VV19Z00-000,CARLING TECH,124
VP1TN-15599-XX1XX-XRDA1,CARLING TECH,150
VVG8CXX-1XX-XSWL1,CARLING TECH,150
VVG9CXX-100-XRRH1,CARLING TECH,150
VVG9CXX-1XX-XMWL1,CARLING TECH,150
384-17131,CARLING TECH,153
V1D1GCCB-00000-000,CARLING TECH,158
VVC2C00-000,CARLING TECH,190
RSCA201-VB-B-9-V,CARLING TECH,200
V6D1WNNB-00000-000,CARLING TECH,200
V2D1AC0B-00000-000,CARLING TECH,209
2GK51-73,CARLING TECH,300
VTHVVCC00-000,CARLING TECH,300
VTHVZCC00-000,CARLING TECH,300
VV8ZZ00-000,CARLING TECH,344
VVCBC00-000,CARLING TECH,388
LM6-01,CARLING TECH,400
VVCCC00-000,CARLING TECH,496
VTHZZCC00-000,CARLING TECH,539
JHA2Z00C-AZCXX-100-XHLF1,CARLING TECH,630
VTH77CC00-000,CARLING TECH,639
VVPZE00-000,CARLING TECH,669
CMB-203-11D4N-B-A20,CARLING TECHNOLOGIES,1
L21B3C661-00000-000,CARLING TECHNOLOGIES,1
L24D1A601-ANZ00-000,CARLING TECHNOLOGIES,1
AB2-B0-34-650-5B1-C,CARLING TECHNOLOGIES,2
LT-1531-640-012,CARLING TECHNOLOGIES,2
VABAB80B-AKB00-000,CARLING TECHNOLOGIES,2
HKA271-73,CARLING TECHNOLOGIES,3
L30E1HXX1-3AAXX-1Z1-XPW1,CARLING TECHNOLOGIES,4
390-09006-001,CARLING TECHNOLOGIES,5
RA911-RW-W-F-N,CARLING TECHNOLOGIES,5
PCG-BA-24-616-1DA-E12,CARLING TECHNOLOGIES,6
VK5AS00B-CZC00-000,CARLING TECHNOLOGIES,8
Jul-40,CARLING TECHNOLOGIES,9
V151S00B-00000-000,CARLING TECHNOLOGIES,9
464-11061-468,CARLING TECHNOLOGIES,14
CA1-B0-16-475-121-C,CARLING TECHNOLOGIES,14
110-PM-OFF,CARLING TECHNOLOGIES,16
VV6PZ00-000,CARLING TECHNOLOGIES,17
Jul-41,CARLING TECHNOLOGIES,19
VVPZEXX-1XX-XUHL1,CARLING TECHNOLOGIES,20
V6D2S00B-AZC00-000,CARLING TECHNOLOGIES,22
110-S-73,CARLING TECHNOLOGIES,25
V1D11601-00000-000,CARLING TECHNOLOGIES,25
V1D1260B-00000-000,CARLING TECHNOLOGIES,25
V5D1S00B-00000-000,CARLING TECHNOLOGIES,28
P27B-BL,CARLING TECHNOLOGIES,40
VVAKY00-000,CARLING TECHNOLOGIES,40
LT-1531-610-012,CARLING TECHNOLOGIES,47
LTILA51-6M-BL-GN-WBL/250N-XD,CARLING TECHNOLOGIES,47
VGD2BH01-19Z45-3AC,CARLING TECHNOLOGIES,50
VVAFB00-000,CARLING TECHNOLOGIES,50
V411S00B-00000-000,CARLING TECHNOLOGIES,55
VVPZEAC-1XX-XDCK1,CARLING TECHNOLOGIES,60
VVPZEXX-1XX-XWPU1,CARLING TECHNOLOGIES,60
VJD2UHNB-G5C00-000,CARLING TECHNOLOGIES,70
VVPZEAC-1HX-XBMN,CARLING TECHNOLOGIES,70
VVPZEAC-1HX-XEXT1,CARLING TECHNOLOGIES,70
VVPZEAC-1XX-XSTE1,CARLING TECHNOLOGIES,70
VVPZEXX-11R-XACC1,CARLING TECHNOLOGIES,70
VVPZEXX-1HX-XNAC1,CARLING TECHNOLOGIES,70
VVPZEXX-1XX-XACC1,CARLING TECHNOLOGIES,70
VSD2A60B-00000-000,CARLING TECHNOLOGIES,77
VDD2A60B-00000-000,CARLING TECHNOLOGIES,85
V4D1WHH1-00000-000,CARLING TECHNOLOGIES,87
LLA7700-000,CARLING TECHNOLOGIES,88
LT-1511-601-012,CARLING TECHNOLOGIES,93
CLB-353-27E3N-W-A/35,CARLING TECHNOLOGIES,95
VV6V200-000,CARLING TECHNOLOGIES,97
170,CARLING TECHNOLOGIES,98
V4D1S00B-AZC00-000,CARLING TECHNOLOGIES,100
VVA9S00-000,CARLING TECHNOLOGIES,100
V8D1W66B-00000-000,CARLING TECHNOLOGIES,103
VJD2U66B-00000-000,CARLING TECHNOLOGIES,120
VH5-01,CARLING TECHNOLOGIES,125
V2D2U66B-00000-000,CARLING TECHNOLOGIES,141
VBD2YNHB-00000-000,CARLING TECHNOLOGIES,142
VVC1C00-000,CARLING TECHNOLOGIES,150
V4D1S004-6ZZ00-000,CARLING TECHNOLOGIES,173
VGD2YNHB-0000-000,CARLING TECHNOLOGIES,175
VED1S00B-00000-000,CARLING TECHNOLOGIES,177
V812S00B-00000-000,CARLING TECHNOLOGIES,188
JC2-03,CARLING TECHNOLOGIES,220
V1D1AC0B-00000-000,CARLING TECHNOLOGIES,224
TIGG51-6M-BL-MBL-XJC3,CARLING TECHNOLOGIES,250
LT-1531-601-012,CARLING TECHNOLOGIES,289
VVR13000,CARLING TECHNOLOGIES,289
H2-16Z9Z-00000-XLAZ1,CARLING TECHNOLOGIES,300
VVPM2Z00-000,CARLING TECHNOLOGIES,304
VVPZC00-000,CARLING TECHNOLOGIES,312
VVR44000,CARLING TECHNOLOGIES,351
V1D1S00B-00000-000-XULF1,CARLING TECHNOLOGIES,370
464-11137-006,CARLING TECHNOLOGIES,450
LLAPZ00-000,CARLING TECHNOLOGIES,468
651882-BB-0N,CARLING TECHNOLOGIES,489
VTHUZCC00-000,CARLING TECHNOLOGIES,500
464-11137-008,CARLING TECHNOLOGIES,549
V8D1160B-00000-000,CARLING TECHNOLOGIES,599
P26B-1D-RND MTL,CARLING TECHNOLOGIES,600
V1D11H01-00000-000,CARLING TECHNOLOGIES,706
V811KHC1-1KRXX-1XX/XST2,CARLING TECHNOLOGIES,797
CLB-073-27E3N-W-A,CARLING TECHNOLOGIES,847
VVR14000,CARLING TECHNOLOGIES,892
VVL3X000,CARLING TECHNOLOGIES,960
V6D1W66B-00000-000,CARLING TECHNOLOGIES,1031
JC1-01,CARLING TECHNOLOGIES,1281
651262-BB-0N,CARLING TECHNOLOGIES,1999
JC2-01,CARLING TECHNOLOGIES,2391
VAD1S00B-00000-000,CARLING TECHNOLOGIES,3608
NBL/BLANKXLM1,CARLING TECHNOLOGIES,7983
VC1-01,CARLING TECHNOLOGIES,10737
CA201-78,CARLING TECHNOLOGIES ,1073
TIGM54-6M-WH-NWH-XDL1,CARLING TECHNOLOGIES   ,1100
VCH-02,"CARLING TECHNOLOGIES, INC ",500
PCD-BA-26-630-11A-EAA,CARLING TEHCNOLOGIES,14
2GE54-73,CARLINGSWITCH,1
RGSCC211-R-B-B-0,CARLINGSWITCH,2
HM251-73,CARLINGSWITCH,9
PA-351,CARLINGSWITCH,16
AA2-B0-26-630-1B1-C,CARLINGSWITCH,21
VVCNB00-000,CARLINGSWITCH,34
TIGK721-6S-BL-NBL,CARLINGSWITCH,43
172-CBL,CARLINGSWITCH,64
AA1-B0-34-620-3B1-C,CARLINGSWITCH,73
VVAZB00-000,CARLINGSWITCH,86
V1D2SW0B-AZF00-000,CARLINGSWITCH,96
TIGM51-6S-BL-MBL,CARLINGSWITCH,133
VVCMB00-000,CARLINGSWITCH,154
AA1-B0-34-615-3B1-C,CARLINGSWITCH,168
VVCZB00-000,CARLINGSWITCH,200
VAD1A60B-00000-000,CARLINGSWITCH,235
AA1-B0-34-610-3B1-C,CARLINGSWITCH,294
AA1-B0-34-450-3B1-C,CARLINGSWITCH,311
6FB53-A2/TABS,CARLINGSWITCH,683
RA901-VB-B-1-V,CARLINGSWITCH,690
V1D1160B-00000-000,CARLINGSWITCH,839
VLD1S00B-00000-000,CARLINGSWITCH,847
621-11221,CARLINGSWITCH,1076
VVAXC00-000,CARLINGSWITCH,1232
V1D1G66B-00000-000,CARLINGSWITCH,1295
621-12221,CARLINGSWITCH,1766
V8DAHW6B-AP100-0,CARLINGTECH,6
E69-40A,CHERRY SWITCH,8
A31ASP24VDC2R,CIT,90
A3F1ASQ12VDC2R,CIT,350
BH19NRSZX,CIT,1007
A21CCQ12VDC1.6R,CIT,4700
55023-10,COLE HERSEE,100
30056-15,COLE HERSEE ,194
AS910-75N,COLUMBIA ENG. RUBBER ,877
660A-7610-16 *,CONCORD,5
01-1532-1-02-00,CONCORD ELECTRONICS,99
701-7758,CONCORD ELECTRONICS,100
5278,COOPER WIRING DEVICES,9
SPE10-1839,CORD SETS,2
SPE18316.5GRAY,CORD SETS,11
MR3124,CORD SETS,50
BR05-FW,CUSTOM CONN,9487
312X06-L0,CUSTOM CONNECTOR,64
BR05-WP,CUSTOM CONNECTOR,401
312XP,CUSTOM CONNECTOR,460
312X13-LY,CUSTOM CONNECTOR,487
VR05-PCB,CUSTOM CONNECTOR,920
BR05-PCB-1P,CUSTOM CONNECTOR CORP,4
EC50,CUSTOM CONNECTORS,40
GF-624-0025 *,CW,22
GF1323-0010 *,CW,25
GIL2000-2010,CW,5928
GRS-4013C-0005,CW INDUSTRIES,113
CPW-7-3,DALE VISHAY,100
1500AU,DAVIES,206
SPAR85/12R LED DOT,DC,3
7415,DEL,2
12GA-PRIMARY-BLK,DEL,6
12GA-PRIMARY-RED,DEL,6
SPRL85R,DEL,8
7800010,DEL,15
76840,DEL,61
73445,DEL,100
73465,DEL CITY,1
9000273,DEL CITY,2
SPR85/ON-OFF,DEL CITY,2
73485,DEL CITY,3
7800021,DEL CITY,5
SPMR94,DEL CITY,5
73240,DEL CITY,9
7500705,DEL CITY,13
73459,DEL CITY,14
19180,DEL CITY,54
7100011,DEL CITY,110
7335,DEL CITY,120
75006,DEL CITY,126
845,DEL CITY,149
1132`,DEL CITY,175
7100005,DEL CITY,223
75038,DEL CITY,254
901485,DEL CITY,285
70004,DEL CITY,480
MRCBP-H-50A,DEL CITY,780
75016,DEL CITY,1000
7800019,DELL,2
PP85,DELL,4
7900020,DELL,22
13519047,DELPHI,2
15326801,DELPHI,2
05297428-L,DELPHI,98
12015345,DELPHI,101
12015792,DELPHI,290
12033871,DELPHI,448
12033872,DELPHI,448
15324985,DELPHI,580
2973407,DELPHI,599
6288913,DELPHI,798
12020116,DELPHI,1116
15324982,DELPHI,1320
1839906,DELPHI,1598
15300014,DELPHI,2154
15300027,DELPHI,2154
12084590,DELPHI,3501
835006,DERONNIE ,50
114010,DEUTSCH,1
0460-204-08141,DEUTSCH,2
0462-203-08141,DEUTSCH,2
DTHD06-1-8S,DEUTSCH,2
DTHD04-1-8P,DEUTSCH,3
W4P,DEUTSCH,55
DTM04-2P,DEUTSCH,100
DT04-3P,DEUTSCH,150
DTP06-4S,DEUTSCH,199
WP-4S,DEUTSCH,199
DT04-2P-C015,DEUTSCH,200
W2P,DEUTSCH,200
DT04-4P,DEUTSCH,207
HD36-18-8SN,DEUTSCH,300
WM-2P,DEUTSCH,300
0460-202-20141,DEUTSCH,500
0460-215-16141,DEUTSCH,750
114017-ZZ,DEUTSCH,839
0462-203-12141,DEUTSCH,1597
0460-202-16141,DEUTSCH,3268
1610-92-5A,DIGI-KEY,15
2000096,DIGITRAN,14
43EBL,DIGITRAN,27
43EBR,DIGITRAN,29
MWDW2:1.187BKSU,DUNBAR,1
3031V,EAGLE/ARROW HART,8
10-1313.1249,EAO,1
10-2512.1146,EAO,1
10-2512.1149,EAO,1
10-4613.3102B,EAO,1
19-289.015,EAO,1
31-931.0,EAO,1
52-433.036,EAO,1
61-1210.0,EAO,1
61-125.00,EAO,1
61-9351.7,EAO,1
704-7097,EAO,1
704-7321,EAO,1
84-7111.500,EAO,1
10-2512.1142,EAO,2
19240254,EAO,2
31-931.5,EAO,2
700-002.22,EAO,2
704-7089,EAO,2
704-955.9,EAO,2
10-2512.1145,EAO,3
19-040251,EAO,3
31-131.022,EAO,3
31-951.6,EAO,3
704-963.1,EAO,3
84-5031.2B20,EAO,3
84-9500.4,EAO,3
19-040252,EAO,4
704-292.0,EAO,4
51-947.0,EAO,5
704-6000,EAO,5
84-8002.4340,EAO,5
84-9700.4,EAO,5
19-040253,EAO,6
31/51-388.022D,EAO,6
704-9500,EAO,9
704-950.1,EAO,10
704-633.1,EAO,17
61-9933.10,EAO,21
704-6023,EAO,23
704-020.2,EAO,24
704-6321,EAO,24
704-6090,EAO,27
51-933.5,EAO,35
704-6026,EAO,39
51-953.2,EAO,47
704.955.0,EAO,54
84-5020.0020,EAO,56
704-6042,EAO,254
52-473.036,EAO CORPOATION,25
704-9015,EAO CORPORARTION,1
51-933.4,EAO CORPORATION,1
704-703.2,EAO CORPORATION,1
14-131.025,EAO CORPORATION,2
44-800.4,EAO CORPORATION,2
84-7111.600,EAO CORPORATION,4
52-928.0,EAO CORPORATION,5
704-955.1,EAO CORPORATION,5
14-131.022,EAO CORPORATION,10
51-903.4,EAO CORPORATION,15
51-933.2,EAO CORPORATION,15
704-610.7,EAO CORPORATION,15
704-6025,EAO CORPORATION,19
704-7022,EAO CORPORATION,22
10-5312.3135,EAO CORPORATION,25
704-6024,EAO CORPORATION,27
704-609.9,EAO CORPORATION,27
704-9001,EAO CORPORATION,27
51-185.0,EAO CORPORATION,36
704-6027,EAO CORPORATION,36
51-955.5,EAO CORPORATION,39
51-920,EAO CORPORATION,43
56-995,EAO CORPORATION,73
10-1109.1329,EAO CORPORATION,125
704-064.2,EAO CORPORATION,218
704-6311,EAO CORPORATION,226
704-6006,EAO CORPORATION,252
704-900.5,EAO CORPORATION,268
704-9002,EAO CORPORATION,407
704-9505,EAO CORPORATION,449
704-6022,EAO CORPORATION ,20
19210250,EAO CORPROATION,2
51-285.0,EAO SWITCH,8
51-255.022D,EAO SWITCH,11
704-1240,EAO SWITCH CORPORATION,1
51-971.022,EAO SWITCH CORPORATION,50
3CXXA1GXXA2G0,EATON,1
7701K2,EATON,1
8442K2,EATON,1
8961K1409,EATON,1
8961K1752,EATON,1
AM1S-B3-A-0020-02E *,EATON,1
17-21160,EATON,2
8418K12,EATON,2
8900K195,EATON,2
AM1S-A3-A-0050-02E *,EATON,3
NGR2003FBN00N,EATON,3
28-6259,EATON,4
2C00050000500,EATON,5
8006K20N1V2,EATON,5
8537K34D,EATON,6
AM1S-A3-A-0015-02E *,EATON,6
AM1S-D3-A-0020-02E *,EATON,6
AM1S-D3-A-0030-02E *,EATON,6
8500K1,EATON,7
AM1S-A3-A-0010-02E *,EATON,7
1263 *,EATON,8
7300K38,EATON,8
AM2S-A8-A-0015-10E *,EATON,9
8834K5,EATON,10
AM2S-A8-A-0040-10E *,EATON,10
8536K310F,EATON,12
AM1S-D3-A-0010-02E *,EATON,12
53-4865,EATON,16
NGR10031BN00N *,EATON,17
8811K17,EATON,18
AM1S-A3-A-0020-02E *,EATON,18
28-5863-10,EATON,19
AM1S-A3-A-0030-02E *,EATON,19
ST12-B  *,EATON,19
AM1S-A3-A-0040-02E *,EATON,20
NGR25884BNZZN,EATON,22
ST40-H  *,EATON,22
8961K214,EATON,23
AM1S-D3-A-0040-02E *,EATON,23
2A0005000000,EATON,24
8497K1,EATON,24
8502K4,EATON,28
8006K43N1V2,EATON,29
MP2-121 *,EATON,30
7805K13,EATON,35
8423K1,EATON,36
8497K1C,EATON,36
NGR2003DBN00N,EATON,39
28-5863-9,EATON,44
1132-FR,EATON,45
28-5863,EATON,50
2B00000AKA3B0,EATON,50
2B00000AQA3B0,EATON,50
2B00000AWA3B0,EATON,50
3CYEA1GBEA2G0,EATON,50
7305K38,EATON,50
NGR10051BN00N *,EATON,50
NGR15041BN0BN,EATON,50
NGR35041BN0AN,EATON,50
8440K3,EATON,53
NGR15481BNAAN *,EATON,72
8956K1212,EATON,73
NGR20041BN00N *,EATON,75
28-5863-2,EATON,91
8652K12 *,EATON,91
NGR10041BN00N *,EATON,96
NGR20051BN00N *,EATON,98
8971K1647,EATON,100
28-5863-12,EATON,111
K388,EATON,150
28-5415-3 *,EATON,151
K1408,EATON,199
8411K11,EATON,262
15-192,EATON,314
NGR20031BN00N,EATON,346
1D00000000000,EATON,416
8961K339,EATON,500
8900K231,EATON,801
8444K2,EATON,1314
2500A51E *,EATON,1653
8900K179 *,EATON,1716
16-1382 *,EATON,12385
1210`,EATON,24431
8530K32,EATON ,60
8501K9,EATON AERO,128
8501K4,EATON AEROSPACE,10
MS24523-23,EATON AEROSPACE,24
8510K9,EATON AEROSPACE,279
8511K4,EATON AS,316
8860K4,EATON CORPORATION,4
7803K41.  *,EATON CORPORATION,28
8503K2,EATON CORPORATION,30
28-5637-2,EATON CORPORATION,47
K390,EATON CORPORATION,50
NGR25011BNA0N *,EATON CORPORATION,89
2604 11E,EATON CORPORATION,97
NGR10021BN00N,EATON CORPORATION,100
8434K2,EATON CORPORATION,101
17-19544-2,EATON CORPORATION,148
17-21543,EATON CORPORATION,502
8006K35N1V1,EATON CORPORATION,560
RW20012AA,EATON CORPORATION,1233
25-13936,EATON CORPORATION,4875
8961K2285,EATON ELECTRICAL,8
8510K11,EATON MS,330
JA1S-A2-A-0010-02E *,EATON/HEINEMANN,2
30099-S,EIKO,35
120PSB5-NEON 120V,EIKO,132
K2.500BKSU,ELECTRO INSULATION,100
MWDW2:1.375BKSU,ELECTROINSULATION,1
LG1635F.375WTSU,ELECTRO-INSULATION,15
LG1635F.250WTSU,ELECTRO-INSULATION,200
SPRDSU,ELECTRO-INSULATION,328
SPBLSU,ELECTRO-INSULATION,484
SPYLSU,ELECTRO-INSULATION,500
C7050AFBR,ELEKTRON,1
C7053AFBR3,ELEKTRON,1
ETN1000E,ELLIOTT,200
SMC-401-9081,EMB,83
402-9072,EMB,84
6077,EMB,150
327004,EMB,200
SMC-303-9058,EMB,221
SMC-303-9070,EMB,246
604-9036,EMB,266
SMC-301-1050,EMB,4736
812-9017,EMB CORPORATION,1
SMC-305-9076,EMB CORPORATION,105
811-9016,EMB CORPORATION,982
SMC-303-9069,EMB CORPORATION,2578
WITA-18R-UVB-M,ESSENTRA,8000
SRS6-6-01,ESSENTRA/RICHCO,3000
KO130NA126,E-SWITCH,1
RR111C1100-244,E-SWITCH,1
HY7-42D19-6,E-SWITCH,21
E205J60V8QE2,E-SWITCH,25
PV6F240SS-341,E-SWITCH,26
R5CBLKBLKEF0,E-SWITCH,33
WB2M42D1121,E-SWITCH,95
PR144C1200,E-SWITCH,100
R5SEAL,E-SWITCH,100
R5SEALFRAME,E-SWITCH,100
PV8F2Y1SS-335,E-SWITCH,118
PV4F2Y011-351,E-SWITCH,158
PV4F2Y011-345,E-SWITCH,210
RB246C1129,E-SWITCH,401
R4JBLKGILEF1,E-SWITCH,479
RB242C1021-114,E-SWITCH,649
PP1-DT7-2B2,E-SWITCH,1047
RB14DE1100,E-SWITCH,2000
RB144D1100,E-SWITCH,2300
25700IG1K10DD-10A,ETA,3
18150,EZ SWITCH,50
18GXLBLUE,FOUR STAR,22
S1042,FOUR STAR,25
F1006 BLK,FOUR STAR,27
F1704 YELLOW,FOUR STAR,44
F1704 RED,FOUR STAR,48
16MTWYELLOW,FOUR STAR,100
12GXLWHITE,FOUR STAR,117.5
16MTWBLK,FOUR STAR,120
WH26-00-100,FOUR STAR,120
F303,FOUR STAR,350
F1709 RED,FOUR STAR,5400
22 STR WHITE,FOUR STAR WIRE,100
22 STR BLUE,FOUR STAR WIRE,128
20GGRAYGXL,FOUR STAR WIRE,144
22 STR BLACK,FOUR STAR WIRE,307.966
22 STR RED,FOUR STAR WIRE,347
FSGT6,FOUR STAR WIRE,354.5
20GBROWNGXL,FOUR STAR WIRE,780
FIT221-3/32-BLK,FOUR STAR WIRE & CABLE,77.5
F152 BLACK,FOUR STAR WIRE & CABLE,140
F404 BLACK,FOUR STAR WIRE & CABLE,1316
18GBLACKGXL,FOUR STAR WURE,133.5
CB211-10,FUSES UNLIMITED,11
CB211-15,FUSES UNLIMITED,119
32076420352,GARDNER BENDER,1350
312431-AEL,GEMCO,972
VELCRO,GILBERTS,3.64
7.38287E+11,GILBERTS,33
O-RING #5 RUBBER,GILBERT'S,48
O-RING #7 RUBBER,GILBERT'S,140
3-520107-2,GOPHER ELECTRONICS,1796
07Z4950 RED,GRAYHILL,2
HCCY1Z600VQ,HARTLAND CONTROLS,3
HCCY3XT02CY,HARTLAND CONTROLS,6
1808.1302,HEILAND,164
AM1-B16-A-20-3 *,HEINEMANN,1
CD1-A3-DU0100-01A *,HEINEMANN,2
JA1S-A2-A-0015-02E,HEINEMANN,2
CD1-B3-DU0100-01C,HEINEMANN,3
CD1-A3-DU0015-01A *,HEINEMANN,5
CD1-A3-DU0050-01A *,HEINEMANN,5
JA1S-D3-A-0030-02E,HEINEMANN,7
JA2S-D3-A-0020-02E *,HEINEMANN,8
CF1-G3-U-0015-01A *,HEINEMANN,10
CF1-G3-U-0020-01A *,HEINEMANN,10
JA1S-B2-A-0010-02N *,HEINEMANN,10
HE-87272,HELLA,87
HE-87269,HELLA ,30
10042,HILLSADLE,3
40381-00,HILLSDALE,2
40501-00,HILLSDALE,2
40610,HILLSDALE,3
23545-06C,HILLSDALE,5
40041,HILLSDALE,7
23530-06R,HILLSDALE,9
20082,HILLSDALE,79
10664,HILLSDALE,100
10665,HILLSDALE,100
54160,HILLSDALE,100
54169,HILLSDALE,100
20662,hillsdale,126
50102N,HILLSDALE,150
20663,HILLSDALE,164
20312,HILLSDALE,510
20183,HILLSDALE,566
50063,HILLSDALE,595
20170,HILLSDALE,680
20182,HILLSDALE,720
10102BZ,HILLSDALE,800
20080,HILLSDALE,813
10100BZ,HILLSDALE,910
20170MT,HILLSDALE,1000
30090,HILLSDALE,1000
50103N,HILLSDALE,1113
10616,HILLSDALE,1361
20172,HILLSDALE,1694
10192,HILLSDALE,1710
50100N,HILLSDALE,2000
50230MT,HILLSDALE,2000
10313,HILLSDALE,3938
50100MT,HILLSDALE,4000
10040BZ,HILLSDALE ,293
10176,HILLSDALE ,6650
20189,HILLSDALE TERMINAL,447
20503,HILLSDALE TERMINAL,500
20172MT,HILSDALE,999
DF22-4S-7.92C,HIROSE,1
DF5A-6S-5C,HIROSE,1
DF22-3S-7.92C,HIROSE,2
DF22-2S-7.92C,HIROSE,3
DF22-1416SCF,HIROSE,4
DF5A-1822SCF,HIROSE,5
DF22A-1012SCF,HIROSE,10
HBL-7832D,HUBBELL,1
H1010,ICONN,1
H1009,ICONN,2
WH20-00-100,IEWC,25
18TXLGRY,IEWC,42
18TXLRED,IEWC,42
12TXLBRN,IEWC,50
12TXLRED,IEWC,50
12TXLYEL,IEWC,50
14TXLBRN,IEWC,50
14TXLYEL,IEWC,50
18TXLYEL,IEWC,50
20TXLGRY,IEWC,50
20TXLORG,IEWC,50
20TXLRED,IEWC,50
20TXLYEL,IEWC,50
CONDUIT1/2BG,IEWC,254.5
CONDUIT5/8BG,IEWC,509
18TXLORG,IEWC,903
CONDUIT3/8BG,IEWC,1054.5
14TXLBLK,IEWC,1110
CONDUIT1/2BBLU,IEWC,1126.75
CONDUIT1/4BG,IEWC,1250.25
CONDUIT3/8BBLU,IEWC,2255
14TXLRED,IEWC,2790
CONDUIT1/4BBLU,IEWC,2860
10GXLRED,IEWC,9527.01
22MTWBLK,IEWC,15000
6S754,INDAK,300
623-1932,INTERVOX,150
E201J60V8QE2,ITT/C&K,3
12TXLBLK,IWEC,50
SP102-14634,JENLAY,4
BA-FTR-RED,JENLAY,25
11967,JOHNSON ELECT,37
XGT2C-86-Z1,JOHNSON ELECTRIC,2000
8915,KESTER,1
04-7080-0000,KESTER,10
BSTP-02/4X4,KLEINHUIS,150
SDLA-135,KLIXON,5
161-1640-EX,KOBICONN,1
DTP04-4P,LADD,27
DT04-6P-CE03,LADD,49
W6P,LADD,49
114017,LADD,50
DT04-4P-CE02,LADD,150
WP-4P,LADD,279
1011-026-0205,LADD,290
W3P,LADD,300
0460-204-12141,LADD,897
244372,LAIRD,1728
ACC-F03-1,LAMB,107
PV8F2Y1SS-235,LAMB,1000
LM922-204,LASERMAX,1
LM922-417,LASERMAX,1
LM922-402,LASERMAX ROMARK,1
WF200-0UG-028V,LEDTRONICS,1
WF200-0UY-028V,LEDTRONICS,5
WF200-0UR-028V,LEDTRONICS,8
80401-T,LEVITON,2
86064,LEVITON,2
80401-W,LEVITON,5
88033,LEVITON,5
88064,LEVITON,6
5522-1VW,LEVITON,21
86025,LEVITON,25
80409-WHITE,LEVITON,29
5320-WCP,LEVITON,30
78025,LEVITON,30
88025,LEVITON,38
78014,LEVITON,94
LG3635W.187RD4,LG,93.75
LG1635F.125BKSU,LG,1000
LTP-757KY,LITE-ON,83
314.002P,LITTELFUSE,300
354801GY,LITTELFUSE,462
SS3404-00,LYNTRON,3998
AA6982-2.500-00,LYNTRON,4000
832B-12L,M & G CHEMICALS ,624
12 MTW BLACK,MAC & MAC,100
CBLHOOKUP20AWGWHT,MADISON,30
609-M245,MARK W. PINNEY,3
1808.0102,MARQUARDT,2
826.000.011,MARQUARDT,5
1939.3119,MARQUARDT,7
1683.1201,MARQUARDT,10
1004.1001,MARQUARDT,25
829 000 031,MARQUARDT,31
6450.0003,MARQUARDT,41
1803.1102,MARQUARDT,95
826 000 021,MARQUARDT,100
835.000.111,MARQUARDT,100
842 000 011,MARQUARDT,100
835 010 111,MARQUARDT,148
6450.0001,MARQUARDT,200
835 003 111,MARQUARDT,200
1006.1301,MARQUARDT,292
203.089.011,MARQUARDT,373
829 000 011,MARQUARDT,1063
1555.3102,MARQUARDT,1989
1006.1204,MARQUARDT,2856
1006.1401,MARQUARDT,3326
2711.5101,MARQUARDT SWITCH,4
1801.1102 *,MARQUARDT SWITCHES,399
16/5 STO YELLOW,MC MVC,200
0861-0187,MCGILL,54
93-3003,MCGILL,68
0851-0071 *,MCGILL,84
175-S0-150-2,MECH PROD,3
1600-247-350-37,MECH PROD,20
1600-162-050,MECH PROD,49
17920,MECH PROD,100
1680-037-100,MECH PROD,137
1648-009-045,MECH PROD,157
1480-333-070-G1,MECH PROD,169
1480-003-200-G1,MECH PROD,195
1480-303-070-G1,MECH PROD,300
1480-333-060-G1,MECH PROD,327
1480-333-150-G1,MECH PROD,394
1480-303-070-097,MECH PROD,557
1480-333-200-G1,MECH PROD,593
1480-333-100-97,MECH PROD,600
5000-635-1,MECH PROD,655
1480-301-040-G1,MECH PROD,837
1480-003-060-97,MECH PROD,1300
1648-084-040-97,Mech Prod,1866
282,MECH PROD,2662
1600-082-350-A2,MECH PRODUCTS,5
1480-303-100-97,MECH PRODUCTS,336
1480-333-050-A9,MECH PRODUCTS,411
1480-003-080-97,MECH PRODUCTS,641
1480-303-200-97,MECH PRODUCTS,644
1480-303-150-97,MECH PRODUCTS,1078
1480-003-070-97,MECH PRODUCTS,1429
1480-303-050-97,MECH PRODUCTS,1746
1480-003-150-97,MECH PRODUCTS,1946
1480-003-200-97,MECH PRODUCTS,2122
1480-003-100-97,MECH PRODUCTS,3056
796-1,MECH PRODUCTS,4265
1480-003-050-97,MECH PRODUCTS,9438
1480-003-040-97,MECH. PRODUCTS,1393
1680-318-2,MECHANIAL PRODUCTS,872
